kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K02086.04,CANDIDATE,CANDIDATE,0.48376823014383996,335.56311,-0.03882,340.6688,-0.0644,0.12,-0.12,13.06,-2.3,158.0,1.01,333.0,2.9,7.2,4.0,6200.0,4.16,1.448,-0.37,288.96124,42.265011,13.959,1.83
K06157.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,98.1020983,-0.0009848,170.33189,-0.00896,0.1865,-0.1178,1.225,-0.233,184.4,1.11,525.0,17.96,6.9,2.0,6669.0,4.224,1.427,-0.287,288.72083,42.71698,13.557,1.97
K06158.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,182.467019,-0.003923,215.019,-0.0231,0.0158,-0.0156,7.607,-0.912,1020.0,2.56,364.0,4.17,12.5,1.0,6299.0,4.401,1.167,-0.13,291.34805,42.79454,13.408,3.73
K00337.02,CANDIDATE,CANDIDATE,0.48376823014383996,154.607419,-0.004279,250.5204,-0.0207,0.0898,-0.0897,9.225,-0.524,279.9,0.64,340.0,3.16,13.4,2.0,6017.0,4.508,0.931,-0.079,295.68481,47.748081,13.936,1.56
K01519.02,CANDIDATE,CANDIDATE,0.742,57.132855,-0.001069,152.9919,-0.014,0.32,-0.32,4.958,-0.376,414.1,0.13,414.0,6.94,11.0,2.0,5157.0,4.445,0.904,-0.088,283.47818,43.383781,15.369,1.81
K06160.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,151.31847,-0.01059,148.9275,-0.081,0.3788,-0.3786,16.45,-2.4,105.4,0.4,373.0,4.57,6.0,2.0,6003.0,4.346,1.085,-0.161,296.85583,43.058311,12.744,1.13
K02163.03,CANDIDATE,CANDIDATE,0.791,28.2251049,-0.0003377,153.7452,-0.0112,0.778,-0.541,2.354,-0.342,201.3,0.52,625.0,36.13,8.9,3.0,6014.0,4.436,1.021,-0.133,295.62659,49.130428,14.651,1.59
K02183.03,CANDIDATE,CANDIDATE,0.404,150.381954,-0.004401,205.2811,-0.0196,0.892,-0.642,4.968,-0.476,396.1,0.31,325.0,2.63,7.8,3.0,5569.0,4.459,0.954,-0.069,292.17114,40.916309,15.198,2.26
K02184.02,CANDIDATE,CANDIDATE,0.638,95.906433,-0.001258,226.921,-0.0107,0.576,-0.488,4.08,-0.285,836.2,0.07,288.0,1.63,11.0,2.0,4620.0,4.564,0.736,-0.043,290.17502,52.220341,15.504,2.17
K07869.01,FALSE POSITIVE,FALSE POSITIVE,0.0,11.4132144,-0.0001338,140.11988,-0.00826,0.439,-0.438,2.371,-0.266,76.4,0.33,925.0,172.97,10.4,1.0,6188.0,4.33,1.155,-0.195,296.27393,44.010441,13.746,1.03
K02194.03,CANDIDATE,CANDIDATE,0.496,445.21685,-0.01812,202.847,-0.0396,0.0,0.0,16.37,-1.0,211.6,0.18,237.0,0.74,11.1,3.0,5670.0,4.387,0.95,-0.124,292.32645,38.657581,13.865,1.37
K02203.02,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,172.178768,-0.002068,139.442,-0.0112,0.2431,-0.2428,1.19,-0.309,501.0,1.01,349.0,3.51,4.7,2.0,6208.0,4.462,1.009,-0.094,292.60025,37.832069,14.349,2.29
K02209.02,CANDIDATE,CANDIDATE,0.901,35.502865,-0.001071,150.4186,-0.0257,0.783,-0.557,8.149,-0.781,115.9,0.52,724.0,64.83,11.0,2.0,5528.0,3.892,1.839,-0.293,292.71445,44.082329,14.31,2.18
K00945.03,CANDIDATE,CANDIDATE,0.137,66.789347,-0.001133,184.4713,-0.0144,0.667,-0.484,4.08,-0.397,358.5,0.64,490.0,13.61,9.5,3.0,6297.0,4.448,1.031,-0.107,297.9516,46.264721,15.083,2.07
K06163.01,FALSE POSITIVE,FALSE POSITIVE,0.0,19.7959731,-0.0001312,135.93667,-0.00585,0.156,-0.156,5.342,-0.141,334.0,1.04,1014.0,249.43,16.6,1.0,6731.0,4.043,1.876,-0.563,299.44345,43.449886,9.816,3.47
K06164.01,CANDIDATE,CANDIDATE,0.959,29.5126153,-0.0005833,134.7234,-0.0171,0.188,-0.188,6.314,-0.492,188.2,0.3,678.0,49.95,9.4,1.0,5746.0,4.189,1.351,-0.268,295.97079,43.52969,15.334,1.84
K06166.02,CONFIRMED,CANDIDATE,1.0,6.6513189,-0.0006042,135.289,-0.126,0.064,-0.064,2.135,-0.151,1058.4,1.98,1095.0,340.06,15.3,1.0,5254.0,4.05,1.514,-0.685,297.21216,43.643719,14.13,4.81
K02210.02,CONFIRMED,CANDIDATE,1.0,210.631486,-0.001512,300.72292,-0.00618,0.642,-0.493,8.419,-0.223,1657.8,0.17,234.0,0.71,25.9,1.0,4895.0,4.589,0.759,-0.03,287.30283,39.289688,15.195,3.23
K02281.02,CANDIDATE,CANDIDATE,0.48376823014383996,455.27405,-0.05654,367.95,-0.0144,0.2429,-0.2428,2.4,-1.1,366.0,0.34,196.0,0.35,4.5,2.0,5178.0,4.556,0.818,-0.056,293.1311,45.663551,13.829,1.54
K00365.02,CANDIDATE,CANDIDATE,0.48376823014383996,117.761,-0.002247,175.5599,-0.0163,0.2505,-0.2504,3.454,-0.399,53.9,0.1,337.0,3.06,7.1,2.0,5564.0,4.522,0.85,-0.045,297.48691,49.623451,11.195,0.62
K02327.02,CANDIDATE,CANDIDATE,0.48376823014383996,46.331703,-0.0008285,173.2164,-0.016,0.1484,-0.1484,4.514,-0.411,299.9,0.52,441.0,8.98,9.4,2.0,5477.0,4.571,0.815,-0.06,291.65778,48.009312,15.378,1.39
K02393.02,CONFIRMED,CANDIDATE,1.0,0.766691517,-1.273e-06,132.19667,-0.00138,0.388,-0.388,1.2638,-0.0507,244.0,0.05,1541.0,1334.22,29.5,1.0,4821.0,4.529,0.788,-0.051,294.6647,39.783829,14.903,1.22
K02404.02,FALSE POSITIVE,FALSE POSITIVE,0.0,5.2438528,-0.000139,132.6659,-0.0271,0.583,-0.378,10.539,-0.566,135.8,0.33,1016.0,251.99,17.8,1.0,5815.0,4.5,0.918,-0.11,291.87799,41.769581,15.656,1.11
K02450.02,CANDIDATE,CANDIDATE,0.982,7.1931193,-7.972e-05,137.2737,-0.0102,0.296,-0.296,2.935,-0.213,125.6,0.15,916.0,166.3,10.7,2.0,5518.0,4.4,1.008,-0.099,294.00946,42.880772,14.834,1.12
